,stock,base,quot,trade_min,trade_max
nuls-bnb,binance,nuls,bnb,0.01000000,10000000.00000000
rcn-btc,binance,rcn,btc,1.00000000,90000000.00000000
rcn-eth,binance,rcn,eth,1.00000000,90000000.00000000
rcn-bnb,binance,rcn,bnb,0.01000000,10000000.00000000
nuls-btc,binance,nuls,btc,1.00000000,90000000.00000000
nuls-eth,binance,nuls,eth,1.00000000,90000000.00000000
rdn-btc,binance,rdn,btc,1.00000000,90000000.00000000
rdn-eth,binance,rdn,eth,1.00000000,90000000.00000000
rdn-bnb,binance,rdn,bnb,0.01000000,10000000.00000000
xmr-btc,binance,xmr,btc,0.00100000,10000000.00000000
xmr-eth,binance,xmr,eth,0.00100000,10000000.00000000
dlt-bnb,binance,dlt,bnb,0.01000000,10000000.00000000
wtc-bnb,binance,wtc,bnb,0.01000000,10000000.00000000
dlt-btc,binance,dlt,btc,1.00000000,90000000.00000000
dlt-eth,binance,dlt,eth,1.00000000,90000000.00000000
amb-btc,binance,amb,btc,1.00000000,90000000.00000000
amb-eth,binance,amb,eth,1.00000000,90000000.00000000
amb-bnb,binance,amb,bnb,0.01000000,10000000.00000000
bcc-eth,binance,bcc,eth,0.00100000,10000000.00000000
bcc-usdt,binance,bcc,usdt,0.00001000,10000000.00000000
bcc-bnb,binance,bcc,bnb,0.00001000,10000000.00000000
bat-btc,binance,bat,btc,1.00000000,90000000.00000000
bat-eth,binance,bat,eth,1.00000000,90000000.00000000
bat-bnb,binance,bat,bnb,0.01000000,10000000.00000000
bcpt-btc,binance,bcpt,btc,1.00000000,90000000.00000000
bcpt-eth,binance,bcpt,eth,1.00000000,90000000.00000000
bcpt-bnb,binance,bcpt,bnb,0.01000000,10000000.00000000
arn-btc,binance,arn,btc,1.00000000,90000000.00000000
arn-eth,binance,arn,eth,1.00000000,90000000.00000000
gvt-btc,binance,gvt,btc,0.01000000,90000000.00000000
gvt-eth,binance,gvt,eth,0.01000000,90000000.00000000
cdt-btc,binance,cdt,btc,1.00000000,90000000.00000000
cdt-eth,binance,cdt,eth,1.00000000,90000000.00000000
gxs-btc,binance,gxs,btc,0.01000000,90000000.00000000
gxs-eth,binance,gxs,eth,0.01000000,90000000.00000000
neo-usdt,binance,neo,usdt,0.00100000,10000000.00000000
neo-bnb,binance,neo,bnb,0.00100000,10000000.00000000
poe-btc,binance,poe,btc,1.00000000,90000000.00000000
poe-eth,binance,poe,eth,1.00000000,90000000.00000000
qsp-btc,binance,qsp,btc,1.00000000,90000000.00000000
qsp-eth,binance,qsp,eth,1.00000000,90000000.00000000
qsp-bnb,binance,qsp,bnb,0.01000000,10000000.00000000
bts-btc,binance,bts,btc,1.00000000,90000000.00000000
bts-eth,binance,bts,eth,1.00000000,90000000.00000000
bts-bnb,binance,bts,bnb,0.01000000,10000000.00000000
xzc-btc,binance,xzc,btc,0.01000000,10000000.00000000
xzc-eth,binance,xzc,eth,0.01000000,90000000.00000000
xzc-bnb,binance,xzc,bnb,0.00100000,10000000.00000000
lsk-btc,binance,lsk,btc,0.01000000,90000000.00000000
lsk-eth,binance,lsk,eth,0.01000000,90000000.00000000
lsk-bnb,binance,lsk,bnb,0.01000000,10000000.00000000
tnt-btc,binance,tnt,btc,1.00000000,90000000.00000000
tnt-eth,binance,tnt,eth,1.00000000,90000000.00000000
fuel-btc,binance,fuel,btc,1.00000000,90000000.00000000
fuel-eth,binance,fuel,eth,1.00000000,90000000.00000000
mana-btc,binance,mana,btc,1.00000000,90000000.00000000
mana-eth,binance,mana,eth,1.00000000,90000000.00000000
bcd-btc,binance,bcd,btc,0.00100000,10000000.00000000
bcd-eth,binance,bcd,eth,0.00100000,10000000.00000000
dgd-btc,binance,dgd,btc,0.00100000,10000000.00000000
dgd-eth,binance,dgd,eth,0.00100000,10000000.00000000
iota-bnb,binance,iota,bnb,0.01000000,10000000.00000000
adx-btc,binance,adx,btc,1.00000000,90000000.00000000
adx-eth,binance,adx,eth,1.00000000,90000000.00000000
adx-bnb,binance,adx,bnb,0.01000000,10000000.00000000
ada-btc,binance,ada,btc,1.00000000,90000000.00000000
ada-eth,binance,ada,eth,1.00000000,90000000.00000000
ppt-btc,binance,ppt,btc,0.01000000,90000000.00000000
ppt-eth,binance,ppt,eth,0.01000000,90000000.00000000
cmt-btc,binance,cmt,btc,1.00000000,90000000.00000000
cmt-eth,binance,cmt,eth,1.00000000,90000000.00000000
cmt-bnb,binance,cmt,bnb,0.01000000,10000000.00000000
xlm-btc,binance,xlm,btc,1.00000000,90000000.00000000
xlm-eth,binance,xlm,eth,1.00000000,90000000.00000000
xlm-bnb,binance,xlm,bnb,0.01000000,10000000.00000000
cnd-btc,binance,cnd,btc,1.00000000,90000000.00000000
cnd-eth,binance,cnd,eth,1.00000000,90000000.00000000
cnd-bnb,binance,cnd,bnb,0.01000000,10000000.00000000
lend-btc,binance,lend,btc,1.00000000,90000000.00000000
lend-eth,binance,lend,eth,1.00000000,90000000.00000000
wabi-btc,binance,wabi,btc,1.00000000,90000000.00000000
wabi-eth,binance,wabi,eth,1.00000000,90000000.00000000
wabi-bnb,binance,wabi,bnb,0.01000000,10000000.00000000
ltc-eth,binance,ltc,eth,0.00100000,10000000.00000000
ltc-usdt,binance,ltc,usdt,0.00001000,10000000.00000000
ltc-bnb,binance,ltc,bnb,0.00001000,10000000.00000000
tnb-btc,binance,tnb,btc,1.00000000,90000000.00000000
tnb-eth,binance,tnb,eth,1.00000000,90000000.00000000
waves-btc,binance,waves,btc,0.01000000,90000000.00000000
waves-eth,binance,waves,eth,0.01000000,90000000.00000000
waves-bnb,binance,waves,bnb,0.01000000,10000000.00000000
gto-btc,binance,gto,btc,1.00000000,90000000.00000000
gto-eth,binance,gto,eth,1.00000000,90000000.00000000
gto-bnb,binance,gto,bnb,0.01000000,10000000.00000000
icx-btc,binance,icx,btc,0.01000000,90000000.00000000
icx-eth,binance,icx,eth,0.01000000,90000000.00000000
icx-bnb,binance,icx,bnb,0.01000000,10000000.00000000
ost-btc,binance,ost,btc,1.00000000,90000000.00000000
ost-eth,binance,ost,eth,1.00000000,90000000.00000000
ost-bnb,binance,ost,bnb,0.01000000,10000000.00000000
elf-btc,binance,elf,btc,1.00000000,90000000.00000000
elf-eth,binance,elf,eth,1.00000000,90000000.00000000
aion-btc,binance,aion,btc,0.01000000,90000000.00000000
aion-eth,binance,aion,eth,0.01000000,90000000.00000000
aion-bnb,binance,aion,bnb,0.01000000,10000000.00000000
nebl-btc,binance,nebl,btc,0.01000000,90000000.00000000
nebl-eth,binance,nebl,eth,0.01000000,90000000.00000000
nebl-bnb,binance,nebl,bnb,0.01000000,10000000.00000000
brd-btc,binance,brd,btc,1.00000000,90000000.00000000
brd-eth,binance,brd,eth,1.00000000,90000000.00000000
brd-bnb,binance,brd,bnb,0.01000000,10000000.00000000
mco-bnb,binance,mco,bnb,0.01000000,10000000.00000000
edo-btc,binance,edo,btc,0.01000000,90000000.00000000
edo-eth,binance,edo,eth,0.01000000,90000000.00000000
wings-btc,binance,wings,btc,1.00000000,90000000.00000000
wings-eth,binance,wings,eth,1.00000000,90000000.00000000
nav-btc,binance,nav,btc,0.01000000,90000000.00000000
nav-eth,binance,nav,eth,0.01000000,90000000.00000000
nav-bnb,binance,nav,bnb,0.01000000,10000000.00000000
lun-btc,binance,lun,btc,0.01000000,90000000.00000000
lun-eth,binance,lun,eth,0.01000000,90000000.00000000
trig-btc,binance,trig,btc,0.01000000,90000000.00000000
trig-eth,binance,trig,eth,0.01000000,90000000.00000000
trig-bnb,binance,trig,bnb,0.01000000,10000000.00000000
appc-btc,binance,appc,btc,1.00000000,90000000.00000000
appc-eth,binance,appc,eth,1.00000000,90000000.00000000
appc-bnb,binance,appc,bnb,0.01000000,10000000.00000000
vibe-btc,binance,vibe,btc,1.00000000,90000000.00000000
vibe-eth,binance,vibe,eth,1.00000000,90000000.00000000
rlc-btc,binance,rlc,btc,0.01000000,90000000.00000000
rlc-eth,binance,rlc,eth,0.01000000,90000000.00000000
rlc-bnb,binance,rlc,bnb,0.01000000,10000000.00000000
ins-btc,binance,ins,btc,0.01000000,90000000.00000000
ins-eth,binance,ins,eth,0.01000000,90000000.00000000
pivx-btc,binance,pivx,btc,0.01000000,90000000.00000000
pivx-eth,binance,pivx,eth,0.01000000,90000000.00000000
