,avg,avg2,base,close,diff2,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-15 14:46:28,13610.145803365807,13616.605263157919,btc,13668.0,1.894736842104976,usd,2018-01-15,2018-01-15 14:46:28,1516016788.0,0.00540741815590536,-8184013.076959752,36206.95054403001
2018-01-15 19:35:00,14048.424331555483,14045.037081517128,btc,14086.0,1.0526315789466025,usd,2018-01-15,2018-01-15 19:35:00,1516034100.0,0.010384912859622458,-15729833.713320356,15.65037711
2018-01-16 00:41:00,13771.388531141936,13769.18655081055,btc,13796.0,1.0,usd,2018-01-16,2018-01-16 00:41:00,1516052460.0,0.010019735384582288,-15176244.107944312,10.0730978
2018-01-16 07:28:00,12908.159580673711,12915.47099399608,btc,12896.0,-0.31578947368507215,usd,2018-01-16,2018-01-16 07:28:00,1516076880.0,-0.0005719097283659983,880795.8889106194,13.4038483
2018-01-16 11:43:00,11649.922469221296,11624.792681324501,btc,11819.0,7.921052631580096,usd,2018-01-16,2018-01-16 11:43:00,1516092180.0,-0.01416487722351281,21488127.960871223,62331.31980194001
2018-01-16 12:29:29,11692.987816158717,11649.823040418449,btc,11718.0,0.47368421052669873,usd,2018-01-16,2018-01-16 12:29:29,1516094969.0,-0.018578111901891497,28178750.16506189,66296.40050566997
2018-01-16 13:01:50,11215.124692430163,11251.91528964687,btc,11386.0,12.789473684209952,usd,2018-01-16,2018-01-16 13:01:50,1516096910.0,-0.021393909377629205,32447615.86366928,71474.22406615001
2018-01-16 14:02:21,11581.841240237105,11549.157894736869,btc,11611.0,0.4473684210515785,usd,2018-01-16,2018-01-16 14:02:21,1516100541.0,-0.025742557181339488,39040391.02585919,77757.88055798001
2018-01-16 16:00:00,11649.69727624017,11638.795555970817,btc,11642.0,-1.2368421052633494,usd,2018-01-16,2018-01-16 16:00:00,1516107600.0,-0.03143795560814632,47675076.45173404,81947.62133933001
2018-01-16 17:07:51,11423.593316824361,11430.157894736869,btc,11398.0,0.894736842104976,usd,2018-01-16,2018-01-16 17:07:51,1516111671.0,-0.03328435659633805,50474400.79294639,83318.53393060001
2018-01-16 18:04:50,11631.560109710974,11645.694285095553,btc,11672.0,1.8684210526316747,usd,2018-01-16,2018-01-16 18:04:50,1516115090.0,-0.034406625519655835,52175882.35851544,85662.01382159999
2018-01-16 19:21:31,11832.133055731621,11833.086935512658,btc,11865.0,1.6578947368434456,usd,2018-01-16,2018-01-16 19:21:31,1516119691.0,-0.03415325041234108,51791796.49426627,89094.56724204998
2018-01-16 20:04:40,11670.672109960164,11675.632760726081,btc,11705.0,2.2368421052633494,usd,2018-01-16,2018-01-16 20:04:40,1516122280.0,-0.032948843085265835,49965826.86107803,90241.09726992
2018-01-16 20:36:41,11295.655545146941,11297.366536088975,btc,11349.0,3.8684210526316747,usd,2018-01-16,2018-01-16 20:36:41,1516124201.0,-0.03240960399732176,49148297.92948022,93698.51132936
2018-01-16 21:17:41,10941.259494499522,10937.44736842108,btc,11052.0,5.842105263158373,usd,2018-01-16,2018-01-16 21:17:41,1516126661.0,-0.03263710572897087,49493210.50559725,99456.69577239
2018-01-16 23:14:21,11283.593346829199,11314.828386380554,btc,11352.0,2.6315789473683253,usd,2018-01-16,2018-01-16 23:14:21,1516133661.0,-0.031124551105761383,47200042.46232037,107446.92186073
2018-01-17 00:03:11,10873.448406808715,10888.578947368449,btc,10935.0,1.3157894736850722,usd,2018-01-17,2018-01-17 00:03:11,1516136591.0,-0.030250316053360374,45874617.02359682,110744.9375882
2018-01-17 00:46:22,10378.407449464525,10336.923437933714,btc,10548.264442540003,4.980643224736923,usd,2018-01-17,2018-01-17 00:46:22,1516139182.0,-0.0307277053573,46598380.10546639,116714.65308002
2018-01-17 01:39:22,10074.178086831296,10081.503720619501,btc,10201.0,5.289473684209952,usd,2018-01-17,2018-01-17 01:39:22,1516142362.0,-0.03226930949182195,48935594.18894024,124278.91071973
2018-01-17 02:20:42,10738.450455601136,10730.807348925553,btc,10777.0,1.3157894736850722,usd,2018-01-17,2018-01-17 02:20:42,1516144842.0,-0.03191075860693058,48391988.88667058,129566.16669076
2018-01-17 04:08:12,10883.483870967748,10875.10526315792,btc,10898.0,-0.23684210526334937,usd,2018-01-17,2018-01-17 04:08:12,1516151292.0,-0.02753948120886803,41764674.91732765,133554.90463066995
2018-01-17 05:15:43,11027.258064516132,11006.0263157895,btc,11066.0,0.7631578947384696,usd,2018-01-17,2018-01-17 05:15:43,1516155343.0,-0.025313826609920653,38390344.45430907,131338.05550306998
