,double,single,triple
2018-01-15 14:46:28,0.06774193548380936,0.06774193548380936,0.06774193548380936
2018-01-15 14:46:38,0.07354838709678006,0.07354838709678006,0.07354838709678006
2018-01-15 14:46:48,0.0800000000000182,0.0800000000000182,0.0800000000000182
2018-01-15 14:46:58,0.08884792626728345,0.08884792626728345,0.08884792626728345
2018-01-15 14:47:08,0.09735023041471973,0.09735023041471973,0.09735023041471973
2018-01-15 14:47:18,0.10514592933946007,0.10514592933946007,0.10514592933946007
2018-01-15 14:47:28,0.11177419354837485,0.11177419354837485,0.11177419354837485
2018-01-15 14:47:37,0.11857128344873188,0.11857128344873188,0.11857128344873188
2018-01-15 14:47:48,0.12402625650168335,0.12402625650168335,0.12402625650168335
2018-01-15 14:47:58,0.1288456282049799,0.1288456282049799,0.1288456282049799
2018-01-15 14:48:18,0.12887642724685103,0.12887642724685103,0.12887642724685103
2018-01-15 14:48:28,0.12988485377059206,0.12988485377059206,0.12988485377059206
2018-01-15 14:48:38,0.13043090495055468,0.13043090495055468,0.13043090495055468
2018-01-15 14:48:48,0.1307159111459149,0.1307159111459149,0.1307159111459149
2018-01-15 14:48:58,0.13084520833843005,0.13084520833843005,0.13084520833843005
2018-01-15 14:49:08,0.1304297514334895,0.1304297514334895,0.1304297514334895
2018-01-15 14:49:18,0.12952408630580295,0.12952408630580295,0.12952408630580295
2018-01-15 14:49:28,0.12868823274169006,0.12868823274169006,0.12868823274169006
2018-01-15 14:49:38,0.12815010487988426,0.12815010487988426,0.12815010487988426
2018-01-15 14:49:58,0.1259803121520705,0.1259803121520705,0.1259803121520705
2018-01-15 14:50:08,0.12437668990615147,0.12437668990615147,0.12437668990615147
2018-01-15 14:50:18,0.12322070051069146,0.12322070051069146,0.12322070051069146
2018-01-15 14:50:28,0.12238844065243241,0.12238844065243241,0.12238844065243241
2018-01-15 14:50:38,0.12192185184176364,0.12192185184176364,0.12192185184176364
2018-01-15 14:50:48,0.12172324271429649,0.12172324271429649,0.12172324271429649
2018-01-15 14:50:58,0.12177669740875298,0.12177669740875298,0.12177669740875298
2018-01-15 14:51:08,0.12203645731068508,0.12203645731068508,0.12203645731068508
2018-01-15 14:51:28,0.12178087643134348,0.12178087643134348,0.12178087643134348
2018-01-15 14:51:38,0.12189129265111778,0.12189129265111778,0.12189129265111778
2018-01-15 14:51:48,0.12224699364003841,0.12224699364003841,0.12224699364003841
2018-01-15 14:51:58,0.12280042636587647,0.12280042636587647,0.12280042636587647
2018-01-15 14:52:08,0.12334517419343953,0.12334517419343953,0.12334517419343953
2018-01-15 14:52:18,0.12366340320711261,0.12366340320711261,0.12366340320711261
2018-01-15 14:52:28,0.12369033388645208,0.12369033388645208,0.12369033388645208
2018-01-15 14:52:38,0.12349253763601604,0.12349253763601604,0.12349253763601604
2018-01-15 14:52:48,0.12307555994002836,0.12307555994002836,0.12307555994002836
2018-01-15 14:52:58,0.12251798063423856,0.12251798063423856,0.12251798063423856
2018-01-15 14:53:08,0.12187608109826592,0.12187608109826592,0.12187608109826592
2018-01-15 14:53:18,0.12121923277261278,0.12121923277261278,0.12121923277261278
2018-01-15 14:53:28,0.1205059669351067,0.1205059669351067,0.1205059669351067
2018-01-15 14:53:40,0.11962020852533388,0.11962020852533388,0.11962020852533388
2018-01-15 14:53:48,0.11873098091948513,0.11873098091948513,0.11873098091948513
2018-01-15 14:53:58,0.1177947577267385,0.1177947577267385,0.1177947577267385
2018-01-15 14:54:08,0.11691153382822768,0.11691153382822768,0.11691153382822768
2018-01-15 14:54:18,0.11609624550239275,0.11609624550239275,0.11609624550239275
2018-01-15 14:54:28,0.1153605150756067,0.1153605150756067,0.1153605150756067
2018-01-15 14:54:38,0.1147238968575547,0.1147238968575547,0.1147238968575547
2018-01-15 14:54:48,0.11416422133584785,0.11416422133584785,0.11416422133584785
2018-01-15 14:54:58,0.11366934864443905,0.11366934864443905,0.11366934864443905
2018-01-15 14:55:08,0.11319404195614542,0.11319404195614542,0.11319404195614542
2018-01-15 14:55:18,0.11269968535757402,0.11269968535757402,0.11269968535757402
2018-01-15 14:55:28,0.1121650727922093,0.1121650727922093,0.1121650727922093
2018-01-15 14:55:38,0.11153192900010069,0.11153192900010069,0.11153192900010069
2018-01-15 14:55:48,0.11079048660090213,0.11079048660090213,0.11079048660090213
2018-01-15 14:55:59,0.10993885167281768,0.10993885167281768,0.10993885167281768
2018-01-15 14:56:08,0.10901625506152866,0.10901625506152866,0.10901625506152866
2018-01-15 14:56:19,0.10798962845411096,0.10798962845411096,0.10798962845411096
2018-01-15 14:56:28,0.1068724929441229,0.1068724929441229,0.1068724929441229
2018-01-15 14:56:38,0.10566696454376204,0.10566696454376204,0.10566696454376204
2018-01-15 14:56:48,0.1044004469729391,0.1044004469729391,0.1044004469729391
2018-01-15 14:56:58,0.10307242803972431,0.10307242803972431,0.10307242803972431
2018-01-15 14:57:08,0.10171907467015699,0.10171907467015699,0.10171907467015699
2018-01-15 14:57:18,0.10033836326418588,0.10033836326418588,0.10033836326418588
2018-01-15 14:57:28,0.09893673236318307,0.09893673236318307,0.09893673236318307
2018-01-15 14:57:38,0.0975237480357253,0.0975237480357253,0.0975237480357253
2018-01-15 14:57:48,0.09608866440952767,0.09608866440952767,0.09608866440952767
2018-01-15 14:57:58,0.0946426536451505,0.0946426536451505,0.0946426536451505
2018-01-15 14:58:08,0.09320268789108492,0.09320268789108492,0.09320268789108492
2018-01-15 14:58:18,0.09177649425481328,0.09177649425481328,0.09177649425481328
