,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-18 08:25:31,10811.645161290326,btc,10841.0,usd,2018-01-18,2018-01-18 08:25:31,1516253131.0,0.010490646228716968,-15895453.912606748,131192.62226653998
2018-01-18 09:50:21,10972.23676487452,btc,10983.0,usd,2018-01-18,2018-01-18 09:50:21,1516258221.0,0.013796541979726903,-20907953.094669864,131813.04590812002
2018-01-18 11:08:32,10563.166388403391,btc,10603.521150850003,usd,2018-01-18,2018-01-18 11:08:32,1516262912.0,0.016466907241058842,-24956883.754330475,132026.16597438007
2018-01-18 12:55:11,11285.29362022968,btc,11223.0,usd,2018-01-18,2018-01-18 12:55:11,1516269311.0,0.018108537301969842,-27446048.19714459,128730.83926559
2018-01-18 13:12:31,11158.29032258065,btc,11214.0,usd,2018-01-18,2018-01-18 13:12:31,1516270351.0,0.018355498269359966,-27820504.0161205,127411.51792402
2018-01-18 13:44:21,11101.361580617424,btc,11133.15683182,usd,2018-01-18,2018-01-18 13:44:21,1516272261.0,0.018425232367693577,-27926248.110403366,123498.51756074
2018-01-18 14:46:11,11524.115225420004,btc,11529.0,usd,2018-01-18,2018-01-18 14:46:11,1516275971.0,0.01885991545567444,-28585342.877754338,119992.33727333
2018-01-18 16:23:11,11425.378504064358,btc,11471.0,usd,2018-01-18,2018-01-18 16:23:11,1516281791.0,0.02008317510127912,-30440104.313759558,118172.72156869002
2018-01-18 17:26:31,11473.592373124842,btc,11473.0,usd,2018-01-18,2018-01-18 17:26:31,1516285591.0,0.01996927121361588,-30267405.186557885,116223.4677411
2018-01-18 18:37:31,11586.461594600327,btc,11600.0,usd,2018-01-18,2018-01-18 18:37:31,1516289851.0,0.017895545950675367,-27123105.269009914,111060.10080228
2018-01-18 21:11:11,11169.745891168068,btc,11174.0,usd,2018-01-18,2018-01-18 21:11:11,1516299071.0,0.012961481864979783,-19641798.346214067,100231.8803472
2018-01-18 22:41:37,11422.779003529358,btc,11454.0,usd,2018-01-18,2018-01-18 22:41:37,1516304497.0,0.008601497980372987,-13030897.049804017,98822.07950564
2018-01-19 02:30:27,10901.546652930807,btc,11001.0,usd,2018-01-19,2018-01-19 02:30:27,1516318227.0,0.005053097302973118,-7650577.278114611,86518.95186176
2018-01-19 06:25:26,10713.386355987099,btc,10755.0,usd,2018-01-19,2018-01-19 06:25:26,1516332326.0,0.0016073621279460817,-2425945.6615602933,77267.59834412
2018-01-19 08:59:06,11065.145494910646,btc,11072.0,usd,2018-01-19,2018-01-19 08:59:06,1516341546.0,-0.001169366477024342,1784370.84240229,73466.0151651
2018-01-19 11:27:17,11425.729243024036,btc,11412.0,usd,2018-01-19,2018-01-19 11:27:17,1516350437.0,-0.004347156753099256,6602919.007159523,73329.33218852
2018-01-19 12:45:56,11449.926840135486,btc,11489.0,usd,2018-01-19,2018-01-19 12:45:56,1516355156.0,-0.005044184880966251,7659888.73739274,72336.79130635
2018-01-19 14:32:57,11522.684766311939,btc,11544.0,usd,2018-01-19,2018-01-19 14:32:57,1516361577.0,-0.004433377778031227,6733766.233360908,69757.85190525
2018-01-19 15:40:46,11643.016813514036,btc,11643.0,usd,2018-01-19,2018-01-19 15:40:46,1516365646.0,-0.002725499226798028,4144091.5911086537,67168.29476189999
2018-01-19 16:20:36,11808.677419354843,btc,11769.0,usd,2018-01-19,2018-01-19 16:20:36,1516368036.0,-0.0015110478776780767,2302597.102928833,65300.94667924001
2018-01-19 18:09:27,11390.629032258066,btc,11393.0,usd,2018-01-19,2018-01-19 18:09:27,1516374567.0,0.0012018967864014076,-1811113.2039579314,62698.7404199
2018-01-19 21:45:17,11075.966172811128,btc,11037.0,usd,2018-01-19,2018-01-19 21:45:17,1516387517.0,0.003811725152812065,-5768540.19608714,56520.35056707001
2018-01-20 02:18:06,11185.885456734195,btc,11218.0,usd,2018-01-20,2018-01-20 02:18:06,1516403886.0,0.004440616454659085,-6722258.993354892,50087.64121387
2018-01-20 05:43:16,11554.98984144226,btc,11590.0,usd,2018-01-20,2018-01-20 05:43:16,1516416196.0,0.0037803978692566432,-5721121.858532952,47059.77605432001
2018-01-20 06:37:46,11720.19598303839,btc,11745.0,usd,2018-01-20,2018-01-20 06:37:46,1516419466.0,0.0030159400055605606,-4561895.775690727,44173.40929346001
2018-01-20 07:30:56,11574.388456135646,btc,11586.0,usd,2018-01-20,2018-01-20 07:30:56,1516422656.0,0.002296869429879442,-3471493.0504358322,43796.432877410014
2018-01-20 09:52:57,12369.225806451617,btc,12398.0,usd,2018-01-20,2018-01-20 09:52:57,1516431177.0,0.005556505595772469,-8414267.041615728,51277.49789891
2018-01-20 11:26:27,12469.951861386939,btc,12467.0,usd,2018-01-20,2018-01-20 11:26:27,1516436787.0,0.007811434660039563,-11833572.490288824,47850.88050555001
2018-01-20 15:20:57,12300.964247855003,btc,12319.0,usd,2018-01-20,2018-01-20 15:20:57,1516450857.0,0.015213671604898279,-23058334.465612974,47860.39878904
2018-01-20 17:14:04,12474.648265482583,btc,12500.0,usd,2018-01-20,2018-01-20 17:14:04,1516457644.0,0.018175378381163194,-27549555.350889325,46734.60990654
2018-01-20 18:38:44,12499.003484927101,btc,12529.0,usd,2018-01-20,2018-01-20 18:38:44,1516462724.0,0.019680764143245485,-29832385.137050506,46282.43454983
