,assume_range,in_avg,in_price,out_date,out_price,trend_type
2018-01-23 10:32:50,208.81094642008065,10220.411767359834,10210.680246610002,2018-01-23 11:25:41,10405.0,double
2018-01-23 13:12:31,206.03536820629233,10463.478843328221,10498.38232089,2018-01-23 13:28:41,10348.0,double
2018-01-23 13:53:51,206.03536820629233,10322.504718925318,10346.0,2018-01-23 14:02:41,10204.0,double
2018-01-23 14:13:11,268.06366010097736,10345.125379434352,10352.0,2018-01-23 14:20:01,10342.0,double
2018-01-23 15:04:41,268.06366010097736,10037.679032258058,10137.0,2018-01-23 15:53:51,10306.0,double
2018-01-23 16:22:31,206.03536820629233,10192.04902795048,10285.0,2018-01-23 18:04:41,10431.0,double
2018-01-23 20:58:11,200.16397374693406,11155.19904126967,11233.0,2018-01-23 22:43:01,11144.0,double
2018-01-23 23:31:22,200.50267368403183,10972.759467964994,11020.0,2018-01-24 02:25:12,10850.0,double
2018-01-24 03:11:11,200.50267368403183,10826.35483870967,10839.0,2018-01-24 03:16:52,10816.0,double
2018-01-24 04:11:22,220.25889345943597,10623.9197036308,10645.0,2018-01-24 05:02:02,10566.0,double
2018-01-24 05:15:02,200.50267368403183,10592.11196315854,10650.0,2018-01-24 06:42:51,10827.0,double
2018-01-24 07:42:02,193.6563702516105,10572.996661200315,10608.0,2018-01-24 07:54:42,10507.0,double
2018-01-24 11:02:52,194.2925792875758,10907.662797364188,10964.0,2018-01-24 11:43:02,10858.86447099,double
2018-01-24 12:32:12,194.2925792875758,10816.792247512736,10829.0,2018-01-24 12:55:12,10789.0,double
2018-01-24 13:53:22,194.2925792875758,10976.686850435317,11011.0,2018-01-24 14:14:52,10976.0,double
2018-01-24 15:06:02,197.3976264858038,10982.271398127736,11090.0,2018-01-24 15:39:02,11252.0,double
2018-01-24 19:51:12,268.06366010097736,11053.292478489187,11076.0,2018-01-24 19:55:22,11018.0,double
2018-01-25 02:10:23,200.50267368403183,11125.71925791983,11186.0,2018-01-25 03:13:23,11347.0,double
2018-01-25 07:54:43,203.26902094516208,11461.491068101122,11496.0,2018-01-25 10:28:23,11402.0,double
2018-01-25 10:40:33,203.26902094516208,11449.953044150154,11548.0,2018-01-25 11:08:04,11407.0,double
2018-01-25 12:38:43,203.26902094516208,11240.781202800315,11308.0,2018-01-25 15:00:19,11172.0,double
2018-01-25 15:30:27,203.26902094516208,11180.712463902575,11200.750189779998,2018-01-25 15:38:36,11143.0,double
2018-01-25 16:13:48,186.15883028709595,11123.576027881929,11140.0,2018-01-25 17:41:48,11256.0,double
