,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-17 02:09:52,10954.225806451619,btc,10801.0,usd,2018-01-17,2018-01-17 02:09:52,1516144192.0,-0.032148298547199104,48752124.76528897,128791.93856768
2018-01-17 02:57:32,11267.072716684199,btc,11260.0,usd,2018-01-17,2018-01-17 02:57:32,1516147052.0,-0.03054482249049777,46321087.35576866,131412.47581839
2018-01-17 03:29:12,11415.61923881694,btc,11356.0,usd,2018-01-17,2018-01-17 03:29:12,1516148952.0,-0.028944818859649283,43895315.26041585,132698.48050228995
2018-01-17 04:51:32,11284.074380922908,btc,11263.0,usd,2018-01-17,2018-01-17 04:51:32,1516153892.0,-0.026174607287319074,39695380.08853176,132064.51346925
2018-01-17 07:10:03,10632.016129032265,btc,10631.0,usd,2018-01-17,2018-01-17 07:10:03,1516162203.0,-0.02397875349810739,36366222.05951519,133747.59741115
2018-01-17 07:59:13,11024.806451612907,btc,10911.0,usd,2018-01-17,2018-01-17 07:59:13,1516165153.0,-0.023289734503954572,35321588.38133985,136136.00244762
2018-01-17 08:45:53,10919.351861300329,btc,10833.0,usd,2018-01-17,2018-01-17 08:45:53,1516167953.0,-0.02220256302159141,33673309.312442124,137578.75295738006
2018-01-17 09:46:33,11199.829352106135,btc,11153.0,usd,2018-01-17,2018-01-17 09:46:33,1516171593.0,-0.019813101259879555,30050587.693629824,139620.07360255
2018-01-17 11:49:33,10727.982696305491,btc,10697.0,usd,2018-01-17,2018-01-17 11:49:33,1516178973.0,-0.014594238868644532,22138080.965428773,130057.28020146
2018-01-17 14:27:24,10339.042984486128,btc,10289.0,usd,2018-01-17,2018-01-17 14:27:24,1516188444.0,-0.017111167619378063,25954091.83177957,126591.44468318
2018-01-17 15:45:33,10386.826463179521,btc,10308.0,usd,2018-01-17,2018-01-17 15:45:33,1516193133.0,-0.01747437215106536,26504746.345750574,129521.58264032
2018-01-17 18:20:45,9582.761504131777,btc,9492.8,usd,2018-01-17,2018-01-17 18:20:45,1516202445.0,-0.018866749354248803,28615780.944785234,134630.64293488004
2018-01-17 18:57:04,9681.621800557585,btc,9665.8,usd,2018-01-17,2018-01-17 18:57:04,1516204624.0,-0.01935292702904376,29352889.600018725,140142.73776936007
2018-01-17 19:39:21,9992.616213506457,btc,9968.0,usd,2018-01-17,2018-01-17 19:39:21,1516207161.0,-0.01881401876432837,28535802.9316912,143047.26016317
2018-01-17 20:25:33,10290.879786209358,btc,10201.0,usd,2018-01-17,2018-01-17 20:25:33,1516209933.0,-0.01762358820734883,26730913.352682304,144799.47399964
2018-01-17 22:25:41,10078.968097301136,btc,10090.0,usd,2018-01-17,2018-01-17 22:25:41,1516217141.0,-0.0173968060602096,26387095.010137714,137234.87190616
2018-01-17 23:32:32,10790.22118534484,btc,10766.0,usd,2018-01-17,2018-01-17 23:32:32,1516221152.0,-0.01484465669251296,22517603.522745665,140486.05497856002
2018-01-18 00:04:01,10929.53225806452,btc,10930.0,usd,2018-01-18,2018-01-18 00:04:01,1516223041.0,-0.01342896799896195,20371184.85309291,140022.38624693998
2018-01-18 01:21:50,11386.483870967744,btc,11346.0,usd,2018-01-18,2018-01-18 01:21:50,1516227710.0,-0.010783919917279705,16360888.106592778,136990.71438641002
2018-01-18 02:35:01,11034.22780255936,btc,10970.0,usd,2018-01-18,2018-01-18 02:35:01,1516232101.0,-0.008558464701263776,12986745.462676527,133070.83410641993
2018-01-18 02:52:00,11157.493516844519,btc,11145.0,usd,2018-01-18,2018-01-18 02:52:00,1516233120.0,-0.007660402568303701,11625119.186729327,132306.34310783
