tick_date,tick_time,base,quot,close,volume,timestamp,avg,trend_coef,trend_intercept
2018-01-11,2018-01-11 16:52:00,btc,usd,13710.0,4.07154281,1515678720.0,13743.318100473387,,
2018-01-11,2018-01-11 16:53:00,btc,usd,13731.0,10.07431701,1515678780.0,13741.72132627984,,
2018-01-11,2018-01-11 16:54:00,btc,usd,13728.0,29.33725667,1515678840.0,13740.189068215323,,
2018-01-11,2018-01-11 16:55:00,btc,usd,13708.0,9.16060736,1515678900.0,13738.350358537904,,
2018-01-11,2018-01-11 16:56:00,btc,usd,13681.0,34.15729064999999,1515678960.0,13735.640681118548,,
2018-01-11,2018-01-11 16:57:00,btc,usd,13692.0,31.872041999999997,1515679020.0,13732.737455312097,,
2018-01-11,2018-01-11 16:58:00,btc,usd,13708.0,40.10955524000001,1515679080.0,13730.398745634677,,
2018-01-11,2018-01-11 16:59:00,btc,usd,13739.0,50.50136638,1515679140.0,13728.866487570162,,
2018-01-11,2018-01-11 17:00:00,btc,usd,13743.0,35.46927087,1515679200.0,13727.70519724758,,
2018-01-11,2018-01-11 17:01:00,btc,usd,13759.375785949998,26.38490124,1515679260.0,13727.049967988709,,
2018-01-11,2018-01-11 17:02:00,btc,usd,13732.0,39.036833830000006,1515679320.0,13726.017709924194,,
2018-01-11,2018-01-11 17:03:00,btc,usd,13720.0,24.18098589,1515679380.0,13723.80803250484,,
2018-01-11,2018-01-11 17:04:00,btc,usd,13744.0,25.27455393,1515679440.0,13722.001580891936,,
2018-01-11,2018-01-11 17:05:00,btc,usd,13740.0,31.70106103,1515679500.0,13720.082226053226,,
2018-01-11,2018-01-11 17:06:00,btc,usd,13745.0,13.34377456,1515679560.0,13718.162871214516,,
2018-01-11,2018-01-11 17:07:00,btc,usd,13773.0,55.72090525000001,1515679620.0,13716.162871214516,,
2018-01-11,2018-01-11 17:08:00,btc,usd,13762.0,22.88106529,1515679680.0,13714.453193795161,,
2018-01-11,2018-01-11 17:09:00,btc,usd,13768.0,27.482942959999995,1515679740.0,13712.96932282742,,
2018-01-11,2018-01-11 17:10:00,btc,usd,13780.0,117.41745437000002,1515679800.0,13712.800380002582,,
2018-01-11,2018-01-11 17:11:00,btc,usd,13817.0,9.16001994,1515679860.0,13713.090702583226,,
2018-01-11,2018-01-11 17:12:00,btc,usd,13801.0,23.20300619,1515679920.0,13713.15521871226,,
2018-01-11,2018-01-11 17:13:00,btc,usd,13784.0,11.861154870000002,1515679980.0,13712.881025163872,,
2018-01-11,2018-01-11 17:14:00,btc,usd,13769.0,11.18064511,1515680040.0,13711.881025163872,,
2018-01-11,2018-01-11 17:15:00,btc,usd,13758.0,22.117698080000004,1515680100.0,13710.81650903484,,
2018-01-11,2018-01-11 17:16:00,btc,usd,13692.0,25.50652836,1515680160.0,13708.929412260646,,
2018-01-11,2018-01-11 17:17:00,btc,usd,13655.0,59.55346281,1515680220.0,13707.074573550968,,
