,avg,base,close,in_close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-16 13:01:50,11215.124692430163,btc,11386.0,11515.0,usd,2018-01-16,2018-01-16 13:01:50,1516096910.0,-0.021393909377629205,32447615.86366928,71474.22406615001
2018-01-16 16:00:00,11649.69727624017,btc,11642.0,11897.879654899998,usd,2018-01-16,2018-01-16 16:00:00,1516107600.0,-0.03143795560814632,47675076.45173404,81947.62133933001
2018-01-16 17:07:51,11423.593316824361,btc,11398.0,11610.0,usd,2018-01-16,2018-01-16 17:07:51,1516111671.0,-0.03328435659633805,50474400.79294639,83318.53393060001
2018-01-16 21:17:41,10941.259494499522,btc,11052.0,11077.0,usd,2018-01-16,2018-01-16 21:17:41,1516126661.0,-0.03263710572897087,49493210.50559725,99456.69577239
2018-01-16 23:14:21,11283.593346829199,btc,11352.0,11436.0,usd,2018-01-16,2018-01-16 23:14:21,1516133661.0,-0.031124551105761383,47200042.46232037,107446.92186073
2018-01-17 00:03:11,10873.448406808715,btc,10935.0,11089.0,usd,2018-01-17,2018-01-17 00:03:11,1516136591.0,-0.030250316053360374,45874617.02359682,110744.9375882
2018-01-17 00:46:22,10378.407449464525,btc,10548.264442540003,10682.0,usd,2018-01-17,2018-01-17 00:46:22,1516139182.0,-0.0307277053573,46598380.10546639,116714.65308002
2018-01-17 01:39:22,10074.178086831296,btc,10201.0,10536.0,usd,2018-01-17,2018-01-17 01:39:22,1516142362.0,-0.03226930949182195,48935594.18894024,124278.91071973
2018-01-17 04:08:12,10883.483870967748,btc,10898.0,11157.0,usd,2018-01-17,2018-01-17 04:08:12,1516151292.0,-0.02753948120886803,41764674.91732765,133554.90463066995
2018-01-17 05:15:43,11027.258064516132,btc,11066.0,11202.0,usd,2018-01-17,2018-01-17 05:15:43,1516155343.0,-0.025313826609920653,38390344.45430907,131338.05550306998
2018-01-17 06:53:42,10316.596355504038,btc,10429.0,10653.0,usd,2018-01-17,2018-01-17 06:53:42,1516161222.0,-0.02397681441690689,36363283.89937747,133181.40137678
2018-01-17 08:31:13,10707.208331358554,btc,10750.0,10866.0,usd,2018-01-17,2018-01-17 08:31:13,1516167073.0,-0.022519669547146258,34154080.26169962,137105.53265595002
2018-01-17 11:30:24,10469.37171989436,btc,10501.0,10670.61602673,usd,2018-01-17,2018-01-17 11:30:24,1516177824.0,-0.014537622959372816,22052243.3496398,133839.58786439
2018-01-17 12:19:43,10469.805635252751,btc,10447.37807114,10623.0,usd,2018-01-17,2018-01-17 12:19:43,1516180783.0,-0.014430770703902475,21890238.8416292,128413.07987909
2018-01-17 13:02:24,10200.099009710166,btc,10288.0,10281.0,usd,2018-01-17,2018-01-17 13:02:24,1516183344.0,-0.01496257793433152,22696534.56538304,124632.47532890002
2018-01-17 13:39:45,9965.60721102758,btc,9972.5,10100.0,usd,2018-01-17,2018-01-17 13:39:45,1516185585.0,-0.01611567785594183,24444795.49627753,125105.87001456002
2018-01-17 15:00:13,9791.280546293387,btc,9820.1,9785.1,usd,2018-01-17,2018-01-17 15:00:13,1516190413.0,-0.017333602248450267,26291329.590223383,129310.88175017
2018-01-17 16:14:43,10100.340410448709,btc,10133.0,10256.0,usd,2018-01-17,2018-01-17 16:14:43,1516194883.0,-0.017442712091178137,26456746.138050985,130120.99384363
2018-01-17 16:54:23,9947.39342774452,btc,9992.5,10035.443656810005,usd,2018-01-17,2018-01-17 16:54:23,1516197263.0,-0.0172591531130688,26178437.188879274,130053.76326908
2018-01-17 17:47:54,9485.86935483871,btc,9560.3,9534.0,usd,2018-01-17,2018-01-17 17:47:54,1516200474.0,-0.01820915995272944,27618785.01340203,132346.98663751993
2018-01-17 18:39:53,9315.55,btc,9351.5,9600.0,usd,2018-01-17,2018-01-17 18:39:53,1516203593.0,-0.01924222962979579,29185061.47469259,136948.0826872
2018-01-17 20:46:40,9968.003093174195,btc,9998.5,10120.0,usd,2018-01-17,2018-01-17 20:46:40,1516211200.0,-0.0173637620574546,26336977.136535216,144417.10091443002
2018-01-17 21:38:51,9810.904437200159,btc,9848.1,9952.0,usd,2018-01-17,2018-01-17 21:38:51,1516214331.0,-0.017542947300851812,26608664.39496769,138776.47384778006
2018-01-18 00:29:51,10684.879938376938,btc,10748.0,10835.0,usd,2018-01-18,2018-01-18 00:29:51,1516224591.0,-0.012432314367238718,18860095.77395645,138839.30492408
2018-01-18 02:21:41,10744.725806451615,btc,10786.0,11078.0,usd,2018-01-18,2018-01-18 02:21:41,1516231301.0,-0.009043973964279759,13722861.50716605,133597.74455652
2018-01-18 03:35:11,10831.73909149952,btc,10850.0,10994.0,usd,2018-01-18,2018-01-18 03:35:11,1516235711.0,-0.004988501086226271,7574013.289984138,131683.06334295002
2018-01-18 07:00:02,11233.627603437264,btc,11260.0,11359.0,usd,2018-01-18,2018-01-18 07:00:02,1516248002.0,0.0073979102157254815,-11206202.107017938,132292.05233385
2018-01-18 08:25:31,10811.645161290326,btc,10841.0,10929.0,usd,2018-01-18,2018-01-18 08:25:31,1516253131.0,0.010490646228716968,-15895453.912606748,131192.62226653998
2018-01-18 11:08:32,10563.166388403391,btc,10603.521150850003,10739.0,usd,2018-01-18,2018-01-18 11:08:32,1516262912.0,0.01646690724105884,-24956883.754330475,132026.16597438007
2018-01-18 16:23:11,11425.378504064358,btc,11471.0,11565.0,usd,2018-01-18,2018-01-18 16:23:11,1516281791.0,0.02008317510127912,-30440104.31375956,118172.72156869002
2018-01-18 19:39:31,11404.704782057745,btc,11429.0,11419.0,usd,2018-01-18,2018-01-18 19:39:31,1516293571.0,0.015907637178715225,-24108920.619772345,104477.38902609002
2018-01-18 21:11:11,11169.74589116807,btc,11174.0,11378.0,usd,2018-01-18,2018-01-18 21:11:11,1516299071.0,0.012961481864979784,-19641798.346214067,100231.8803472
2018-01-19 01:41:46,11002.282106822902,btc,11045.0,11218.57482459,usd,2018-01-19,2018-01-19 01:41:46,1516315306.0,0.006553357891864588,-9925370.14970041,88102.12723682
2018-01-19 02:30:27,10901.546652930809,btc,11001.0,10923.41363106,usd,2018-01-19,2018-01-19 02:30:27,1516318227.0,0.005053097302973118,-7650577.278114611,86518.95186176
2018-01-19 06:25:26,10713.386355987099,btc,10755.0,10929.0,usd,2018-01-19,2018-01-19 06:25:26,1516332326.0,0.0016073621279460814,-2425945.6615602933,77267.59834412
2018-01-19 10:47:46,11011.484274708871,btc,11056.0,11500.0,usd,2018-01-19,2018-01-19 10:47:46,1516348066.0,-0.0028417795094911194,4320283.19292883,71072.46987157999
2018-01-19 18:09:27,11390.629032258066,btc,11393.0,11500.0,usd,2018-01-19,2018-01-19 18:09:27,1516374567.0,0.0012018967864014074,-1811113.2039579316,62698.7404199
2018-01-19 21:45:17,11075.966172811128,btc,11037.0,11204.0,usd,2018-01-19,2018-01-19 21:45:17,1516387517.0,0.003811725152812065,-5768540.19608714,56520.35056707001
2018-01-20 01:31:26,11204.788098773548,btc,11240.0,11330.0,usd,2018-01-20,2018-01-20 01:31:26,1516401086.0,0.005149797479757549,-7797624.108679155,52480.76482182
2018-01-20 09:52:57,12369.225806451615,btc,12398.0,12444.0,usd,2018-01-20,2018-01-20 09:52:57,1516431177.0,0.0055565055957724685,-8414267.041615728,51277.49789891
2018-01-20 15:20:57,12300.964247855005,btc,12319.0,12377.0,usd,2018-01-20,2018-01-20 15:20:57,1516450857.0,0.01521367160489828,-23058334.46561297,47860.39878904
2018-01-20 23:22:05,12643.709677419358,btc,12688.0,12696.0,usd,2018-01-20,2018-01-20 23:22:05,1516479725.0,0.02005858918330504,-30405391.88880703,47694.86305769
2018-01-21 04:09:41,12372.916109241942,btc,12424.0,12486.0,usd,2018-01-21,2018-01-21 04:09:41,1516496981.0,0.012175014859455874,-18450382.113206733,47937.88783882001
2018-01-21 10:54:21,11736.15698687484,btc,11768.0,11887.0,usd,2018-01-21,2018-01-21 10:54:21,1516521261.0,-0.003598981484375569,5470318.603937657,44779.06173002999
2018-01-21 12:28:31,11672.325654062908,btc,11643.0,11809.0,usd,2018-01-21,2018-01-21 12:28:31,1516526911.0,-0.0063441681946502185,9633318.522452464,46064.06048654999
2018-01-21 17:55:51,11713.002716276618,btc,11699.0,11805.0,usd,2018-01-21,2018-01-21 17:55:51,1516546551.0,-0.013020688320464215,19758282.934214346,46277.53162996
2018-01-21 19:34:41,11237.509380596133,btc,11293.0,11337.0,usd,2018-01-21,2018-01-21 19:34:41,1516552481.0,-0.01554793205432087,23590885.27610264,50842.27179040999
2018-01-22 00:05:31,11074.445723996942,btc,11113.0,11238.0,usd,2018-01-22,2018-01-22 00:05:31,1516568731.0,-0.01844725785340204,27987768.3753094,51297.54507663
2018-01-22 05:38:22,11267.763324380163,btc,11300.223385050005,11388.0,usd,2018-01-22,2018-01-22 05:38:22,1516588702.0,-0.01348895874557757,20468346.791705567,53064.08317698
2018-01-22 09:04:41,11433.446788292584,btc,11452.0,11562.0,usd,2018-01-22,2018-01-22 09:04:41,1516601081.0,-0.007822817100087417,11875360.58159069,50124.25234548
2018-01-22 16:57:07,10465.513616032584,btc,10541.0,10684.713375800002,usd,2018-01-22,2018-01-22 16:57:07,1516629427.0,-0.00025423242159008816,397032.2362477358,54148.34671366
2018-01-22 18:22:08,10507.564516129032,btc,10575.0,10646.0,usd,2018-01-22,2018-01-22 18:22:08,1516634528.0,-0.0018778287396360332,2859291.680664605,57204.23250636
2018-01-22 19:04:17,10281.396553345323,btc,10349.0,10365.0,usd,2018-01-22,2018-01-22 19:04:17,1516637057.0,-0.0030358445356995487,4615500.7318599615,57377.32398025
2018-01-22 22:11:50,10401.00087334016,btc,10450.0,10485.0,usd,2018-01-22,2018-01-22 22:11:50,1516648310.0,-0.009749666412069351,14797648.391719885,56982.10073852
2018-01-23 00:55:20,10061.331576968703,btc,10100.0,10222.0,usd,2018-01-23,2018-01-23 00:55:20,1516658120.0,-0.015559738328075431,23609283.28597924,59915.06707936
