timestamp,gap,price,range
1515790800.0,26280.0,14160.67568122572,664.7240683224936
1515805980.0,13920.0,13905.746479461806,269.60629715374125
1515822960.0,14400.0,14215.428072865376,190.0732341556959
1515844620.0,12840.0,14381.456474910781,237.38958095561793
1515897720.0,44400.0,14575.677933106212,431.7071883071785
1515996600.0,16200.0,13627.665912746455,218.25393721564797
1515995936.0,2322.0,13599.935751793195,92.91777862851268
1515999765.0,1280.0,13769.163489602686,39.87732447139388
1516008055.0,7920.0,13777.128765841795,195.1020519488884
1516019281.0,5166.0,13830.10536832915,224.63698431818193
1516027547.0,1640.0,14309.683926599531,78.380697956949
1516165803.0,46882.0,10883.546612111268,809.3685252799714
1516168993.0,3840.0,10939.089706020255,231.88137466170156
1516167973.0,120.0,10916.622591890717,0.6094402678081678
1516209233.0,37640.0,10541.304289116692,750.0237428233031
1516196633.0,3500.0,10326.031366249403,225.69095580069188
1516211593.0,16000.0,9911.955112447286,596.4051124472862
1516218729.0,8796.0,10136.096559957756,325.19212275759674
1516221372.0,220.0,10786.999579548472,6.231695144922924
1516234892.0,7182.0,11323.757240170135,579.0314337185191
1516238302.0,5182.0,11134.44777798821,302.70868648868964
1516236590.0,178.0,10972.826602959618,3.769359164292837
1516240873.0,1602.0,11455.69605634674,202.4063806377053
1516260090.0,13918.0,11800.936161753567,989.2910004632413
1516260031.0,3620.0,11207.615926020833,235.37916114631298
1516266693.0,7562.0,11219.849433994863,656.6830455914715
1516269341.0,60.0,11286.767442592762,1.4738223630811262
1516271261.0,1820.0,11322.940964956959,164.6506423763094
1516273381.0,2240.0,11262.518428602994,161.1568479855705
1516276391.0,840.0,11554.438638799365,30.323413379361227
1516284301.0,5020.0,11916.590329529145,491.21182546478667
1516287671.0,4160.0,11793.957306075961,320.36493295111904
1516291240.0,2778.0,11876.164203586317,289.7026089859901
1516306771.0,15400.0,11959.341609401641,789.5957182335733
1516306358.0,3722.0,11606.373718615887,183.5947150865286
1516327126.0,17798.0,11809.490996761462,907.9443438306553
1516339986.0,15320.0,11340.215530143269,626.8291741561698
1516343156.0,3220.0,11244.80165244133,179.65615753068414
1516350737.0,600.0,11474.277988825897,48.548745801861514
1516356826.0,3340.0,11613.23641649175,163.3095763562651
1516363048.0,2942.0,11676.32889074565,153.6441244337111
1516366596.0,1900.0,11784.755777981902,141.73896446786603
1516368066.0,60.0,11809.667952343134,0.9905329882913065
1516381078.0,13022.0,11832.993061076013,442.36402881794675
1516394368.0,13702.0,11673.379742863477,597.4135700523493
1516410196.0,12620.0,11504.634141321285,318.7486845870899
1516417796.0,3200.0,11682.014123854979,127.0242824127181
1516420556.0,2180.0,11760.703440851286,40.50745781289697
1516425286.0,5260.0,11758.260162801787,183.8717066661411
1516433587.0,4820.0,12685.60981709615,316.3840106445332
1516437997.0,2420.0,12605.172079009879,135.22021762294025
1516462467.0,23220.0,13088.24850614132,787.2842582863177
1516458974.0,2660.0,12659.846259595568,185.19799411298482
1516465694.0,5940.0,12766.548439750872,267.54495482377024
1516472664.0,3480.0,12960.10850822926,232.8512856697398
1516475512.0,1316.0,12968.309839576077,89.52884172413906
1516484106.0,8762.0,13096.183424343493,452.4737469241354
1516506637.0,19312.0,13052.267901814024,679.3517925720844
1516549041.0,44260.0,12153.131525827355,480.80587176444715
1516543290.0,6260.0,12088.728474883608,116.9625365344109
1516594241.0,51020.0,11496.38272171483,421.93699771789034
1516606720.0,11278.0,11613.490083176477,180.0432948838934
1516603541.0,140.0,11626.128306777593,0.7734680679131998
1516615842.0,6460.0,11834.554237076421,172.58030299190432
1516703951.0,22960.0,10641.093515499391,442.53542318568543
1516700211.0,1940.0,10649.658954608012,51.94962215220767
1516703731.0,3720.0,10614.050572032984,186.1956063216967
1516714691.0,11720.0,10469.258003944393,487.11445555729915
1516715171.0,3120.0,10308.83148488654,138.26855126622286
1516726591.0,860.0,11219.209049837253,46.06350785870927
1516732631.0,5120.0,11336.055033672188,211.39984235058
1516734771.0,3020.0,11333.520905009565,162.29109609844272
1516744171.0,9960.0,11317.29877338243,397.14763656662944
1516748410.0,6818.0,11191.985178551637,215.7109850032557
1516772033.0,24642.0,11276.98218298572,713.3706086891125
1516767382.0,2020.0,10848.872624940825,79.38690179582954
1516769852.0,2780.0,10820.355800183333,292.19784866043665
1516772592.0,1960.0,10690.619378377743,105.64327910903921
1516782532.0,3960.0,11071.715138305724,189.00498071201764
1516789092.0,6420.0,11032.032073126558,247.29382183914458
1516792922.0,3960.0,11117.885288854299,162.96713408446885
1516793522.0,1800.0,11026.844380069519,52.64804304549216
1516796302.0,1900.0,11116.160402021967,158.4862292806829
1516800712.0,1880.0,11373.240253637152,121.7009112165124
1516802412.0,1940.0,11335.079332243433,103.07732924956326
1516824291.0,19318.0,11489.679005499287,564.470138843486
1516821533.0,3400.0,11164.322735970487,140.43770431178382
1516830962.0,6200.0,11258.258688598817,118.87158362301489
1516839442.0,9440.0,11332.22962671518,230.31027187647487
1516839993.0,780.0,11376.310113575119,38.27282273851233
1516846863.0,2240.0,11440.667359813273,105.82507760344197
1516857953.0,5000.0,11701.637785154979,276.0619722675674
1516869595.0,7882.0,11648.669705822549,225.75560843658968
1516877253.0,10620.0,11568.558942002499,375.35993394282923
1516879750.0,3302.0,11403.249640005464,102.53966208708334
1516892048.0,13020.0,11374.399719594614,296.8884212723624
1516901328.0,10200.0,11268.780201764299,304.6382356128579
1516916399.0,2960.0,11340.214528511604,51.17815410048388
1516919739.0,4280.0,11298.587618571244,99.65675068964083
