,avg,base,close,in_close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-14 09:15:00,13718.555851969355,btc,13800.0,13844.0,usd,2018-01-14,2018-01-14 09:15:00,1515910500.0,-0.001717379724511672,2617549.54705902,48.35577961
2018-01-14 16:13:00,13219.731404909198,btc,13276.0,13511.0,usd,2018-01-14,2018-01-14 16:13:00,1515935580.0,-0.011622949097170559,17633191.979975354,35.53791141
2018-01-16 07:28:00,12908.159580673711,btc,12896.0,13116.0,usd,2018-01-16,2018-01-16 07:28:00,1516076880.0,-0.0005719097283659983,880795.8889106194,13.4038483
2018-01-16 11:43:00,11649.922469221296,btc,11819.0,12026.0,usd,2018-01-16,2018-01-16 11:43:00,1516092180.0,-0.01416487722351281,21488127.960871223,62331.31980194001
2018-01-16 13:01:50,11215.124692430163,btc,11386.0,11580.0,usd,2018-01-16,2018-01-16 13:01:50,1516096910.0,-0.021393909377629205,32447615.86366928,71474.22406615001
2018-01-16 17:07:51,11423.593316824361,btc,11398.0,11508.0,usd,2018-01-16,2018-01-16 17:07:51,1516111671.0,-0.03328435659633805,50474400.79294639,83318.53393060001
2018-01-16 21:17:41,10941.259494499522,btc,11052.0,11077.0,usd,2018-01-16,2018-01-16 21:17:41,1516126661.0,-0.03263710572897087,49493210.50559725,99456.69577239
2018-01-17 00:03:11,10873.448406808715,btc,10935.0,11122.0,usd,2018-01-17,2018-01-17 00:03:11,1516136591.0,-0.030250316053360374,45874617.02359682,110744.9375882
2018-01-17 00:46:22,10378.407449464525,btc,10548.264442540003,10682.0,usd,2018-01-17,2018-01-17 00:46:22,1516139182.0,-0.0307277053573,46598380.10546639,116714.65308002
2018-01-17 06:53:42,10316.596355504038,btc,10429.0,10570.0,usd,2018-01-17,2018-01-17 06:53:42,1516161222.0,-0.02397681441690689,36363283.89937747,133181.40137678
2018-01-17 11:30:24,10469.37171989436,btc,10501.0,10670.61602673,usd,2018-01-17,2018-01-17 11:30:24,1516177824.0,-0.014537622959372816,22052243.3496398,133839.58786439
2018-01-17 14:08:24,9854.606657983872,btc,9859.0,10100.0,usd,2018-01-17,2018-01-17 14:08:24,1516187304.0,-0.016856428238129363,25567873.041713245,125450.24764334998
2018-01-17 15:00:13,9791.280546293387,btc,9820.1,9785.1,usd,2018-01-17,2018-01-17 15:00:13,1516190413.0,-0.017333602248450267,26291329.590223383,129310.88175017
2018-01-17 18:09:34,9423.518599732735,btc,9455.7,9569.2,usd,2018-01-17,2018-01-17 18:09:34,1516201774.0,-0.018650675290042426,28288182.713441394,133755.01467134
2018-01-18 02:21:41,10744.725806451615,btc,10786.0,11078.0,usd,2018-01-18,2018-01-18 02:21:41,1516231301.0,-0.009043973964279759,13722861.50716605,133597.74455652
2018-01-18 08:25:31,10811.645161290326,btc,10841.0,11032.0,usd,2018-01-18,2018-01-18 08:25:31,1516253131.0,0.010490646228716968,-15895453.912606748,131192.62226653998
2018-01-18 11:08:32,10563.166388403391,btc,10603.521150850003,10739.0,usd,2018-01-18,2018-01-18 11:08:32,1516262912.0,0.01646690724105884,-24956883.754330475,132026.16597438007
