,assume_range,in_avg,in_price,out_date,out_price,trend_type
2018-01-25 07:54:43,200.50267368403183,11461.491068101122,11496.0,2018-01-25 10:28:23,11402.0,single
2018-01-25 10:40:33,197.3976264858038,11449.953044150154,11548.0,2018-01-25 11:08:04,11407.0,single
2018-01-25 12:38:43,197.3976264858038,11240.781202800315,11308.0,2018-01-25 15:00:19,11172.0,single
2018-01-25 15:30:27,197.3976264858038,11180.712463902575,11200.750189779998,2018-01-25 15:38:36,11143.0,single
2018-01-25 16:13:48,192.35532169774524,11123.576027881929,11140.0,2018-01-25 16:59:18,11260.0,single
2018-01-25 19:13:08,192.35532169774524,11008.21101786386,11043.0,2018-01-25 20:04:09,10857.0,single
2018-01-25 20:18:08,197.3976264858038,10952.645567649022,10972.0,2018-01-25 20:22:48,10897.0,single
2018-01-26 01:04:29,195.82645210887495,11222.177784625635,11263.0,2018-01-26 01:58:39,11166.0,single
2018-01-26 02:22:39,195.82645210887495,11155.284967251762,11171.0,2018-01-26 02:34:59,11148.0,single
2018-01-26 07:59:59,198.1645628964534,11449.012129353052,11462.0,2018-01-26 08:18:49,11439.0,single
2018-01-26 09:48:49,193.00584597467787,11378.360774952243,11430.0,2018-01-26 10:10:09,11328.0,single
2018-01-26 12:00:50,193.00584597467787,10701.392995222568,10746.0,2018-01-26 12:12:40,10605.0,single
2018-01-26 13:10:40,187.0027313611281,10408.522179123052,10498.0,2018-01-26 16:03:20,10617.0,single
2018-01-26 17:17:00,198.1645628964534,10558.516772788209,10630.0,2018-01-26 18:06:00,10757.0,single
2018-01-26 20:48:11,195.82645210887495,11022.99137634144,11110.0,2018-01-26 21:41:40,10996.0,single
2018-01-26 23:19:01,195.82645210887495,10937.706990770956,11008.0,2018-01-27 00:11:30,10904.0,single
2018-01-27 01:02:11,195.82645210887495,10851.857123721758,10892.0,2018-01-27 01:33:31,10810.0,single
2018-01-27 02:12:51,192.35532169774524,10807.444894598217,10884.0,2018-01-27 02:54:01,11117.0,single
2018-01-27 04:41:51,195.82645210887495,10975.454720407892,11005.0,2018-01-27 05:06:41,10949.0,single
2018-01-27 07:11:11,198.1645628964534,11023.291639521121,11106.0,2018-01-27 08:54:01,11250.0,single
2018-01-27 10:57:31,200.50267368403183,11207.95802133983,11249.0,2018-01-27 11:35:12,11171.0,single
2018-01-27 12:15:51,193.00584597467787,11189.769873675636,11212.0,2018-01-27 12:34:31,11147.0,single
