,tick_date,tick_time,base,quot,close,volume
0,2018-01-21,2018-01-21 19:20:21,btc,usd,11336.0,49696.62274227
1,2018-01-21,2018-01-21 19:20:11,btc,usd,11333.0,49687.56420576
2,2018-01-21,2018-01-21 19:20:00,btc,usd,11331.0,49680.12206379
3,2018-01-21,2018-01-21 19:19:51,btc,usd,11331.0,49679.79904067999
4,2018-01-21,2018-01-21 19:19:41,btc,usd,11339.8417816,49676.28894123
5,2018-01-21,2018-01-21 19:19:30,btc,usd,11326.0,49675.20822285
6,2018-01-21,2018-01-21 19:19:21,btc,usd,11300.0,49652.09030060999
7,2018-01-21,2018-01-21 19:19:11,btc,usd,11296.0,49600.32655589001
8,2018-01-21,2018-01-21 19:19:02,btc,usd,11295.932994459998,49592.64788072999
9,2018-01-21,2018-01-21 19:18:51,btc,usd,11278.0,49593.47526938
10,2018-01-21,2018-01-21 19:18:41,btc,usd,11279.0,49588.97504763
11,2018-01-21,2018-01-21 19:18:31,btc,usd,11274.0,49581.56389452
12,2018-01-21,2018-01-21 19:18:20,btc,usd,11270.0,49581.42644839
13,2018-01-21,2018-01-21 19:18:10,btc,usd,11279.0,49580.56356968
14,2018-01-21,2018-01-21 19:18:00,btc,usd,11292.0,49564.74133861
15,2018-01-21,2018-01-21 19:17:50,btc,usd,11290.0,49559.60644534
16,2018-01-21,2018-01-21 19:17:31,btc,usd,11298.0,49541.45707304001
17,2018-01-21,2018-01-21 19:17:21,btc,usd,11301.0,49529.68780565
18,2018-01-21,2018-01-21 19:17:11,btc,usd,11311.0,49502.91186724001
19,2018-01-21,2018-01-21 19:17:01,btc,usd,11310.0,49502.82766559
20,2018-01-21,2018-01-21 19:16:51,btc,usd,11325.16474968,49484.41079585
21,2018-01-21,2018-01-21 19:16:41,btc,usd,11346.0,49465.38213091
22,2018-01-21,2018-01-21 19:16:31,btc,usd,11343.0,49449.12374529
23,2018-01-21,2018-01-21 19:16:20,btc,usd,11343.0,49449.00205979001
24,2018-01-21,2018-01-21 19:16:11,btc,usd,11314.0,49435.31110328
25,2018-01-21,2018-01-21 19:16:01,btc,usd,11318.0,49426.10721102
26,2018-01-21,2018-01-21 19:15:51,btc,usd,11297.0,49395.01958446
27,2018-01-21,2018-01-21 19:15:40,btc,usd,11294.0,49368.7545668
28,2018-01-21,2018-01-21 19:15:31,btc,usd,11298.0,49351.08625823001
29,2018-01-21,2018-01-21 19:15:20,btc,usd,11276.0,49341.62700045
30,2018-01-21,2018-01-21 19:15:11,btc,usd,11246.0,49267.83852840001
31,2018-01-21,2018-01-21 19:14:51,btc,usd,11239.0,49213.70465404
32,2018-01-21,2018-01-21 19:14:41,btc,usd,11237.0,49208.60199752999
33,2018-01-21,2018-01-21 19:14:31,btc,usd,11240.0,49197.39104194
34,2018-01-21,2018-01-21 19:14:21,btc,usd,11238.0,49176.13937024
35,2018-01-21,2018-01-21 19:14:11,btc,usd,11256.0,49166.98205180001
36,2018-01-21,2018-01-21 19:14:01,btc,usd,11254.0,49094.6909125
37,2018-01-21,2018-01-21 19:13:51,btc,usd,11253.0,49083.58354756
38,2018-01-21,2018-01-21 19:13:40,btc,usd,11259.0,49070.33923930001
39,2018-01-21,2018-01-21 19:13:31,btc,usd,11266.0,49064.80857258001
40,2018-01-21,2018-01-21 19:13:21,btc,usd,11268.0,49087.56223655
41,2018-01-21,2018-01-21 19:13:10,btc,usd,11272.0,49089.56536237
42,2018-01-21,2018-01-21 19:13:01,btc,usd,11269.0,49091.32224795
43,2018-01-21,2018-01-21 19:12:51,btc,usd,11288.0,49084.84647083
44,2018-01-21,2018-01-21 19:12:41,btc,usd,11296.0,49084.84108836
45,2018-01-21,2018-01-21 19:12:31,btc,usd,11319.66086272,49061.26409599
46,2018-01-21,2018-01-21 19:12:21,btc,usd,11329.0,49061.00439801
47,2018-01-21,2018-01-21 19:12:10,btc,usd,11340.0,49057.67911791
48,2018-01-21,2018-01-21 19:12:01,btc,usd,11348.0,49057.56279080999
49,2018-01-21,2018-01-21 19:11:51,btc,usd,11350.0,49056.86209721
50,2018-01-21,2018-01-21 19:11:41,btc,usd,11350.0,49038.15021667001
51,2018-01-21,2018-01-21 19:11:31,btc,usd,11356.353442500002,49000.04836621
52,2018-01-21,2018-01-21 19:11:21,btc,usd,11358.0,48988.24007074
53,2018-01-21,2018-01-21 19:11:11,btc,usd,11371.0,48979.56476877
54,2018-01-21,2018-01-21 19:10:50,btc,usd,11364.0,48957.98151998001
55,2018-01-21,2018-01-21 19:10:41,btc,usd,11370.0,48954.33623150001
56,2018-01-21,2018-01-21 19:10:31,btc,usd,11371.0,48947.52191272
57,2018-01-21,2018-01-21 19:10:21,btc,usd,11372.0,48948.62019817
58,2018-01-21,2018-01-21 19:10:11,btc,usd,11375.0,48939.56679148
59,2018-01-21,2018-01-21 19:10:01,btc,usd,11366.0,48919.23515372999
60,2018-01-21,2018-01-21 19:09:51,btc,usd,11354.0,48906.31232961
61,2018-01-21,2018-01-21 19:09:41,btc,usd,11351.0,48896.44144774
62,2018-01-21,2018-01-21 19:09:31,btc,usd,11350.0,48870.72574613999
63,2018-01-21,2018-01-21 19:09:21,btc,usd,11339.0,48841.27551676
64,2018-01-21,2018-01-21 19:09:10,btc,usd,11330.0,48828.33380832001
65,2018-01-21,2018-01-21 19:09:01,btc,usd,11334.0,48819.56522465
66,2018-01-21,2018-01-21 19:08:52,btc,usd,11334.0,48812.47943641
67,2018-01-21,2018-01-21 19:08:41,btc,usd,11333.0,48795.72910261999
